1;1;484843.4586;2184820.2431;[1];0
2;2;484832.8152;2184827.3533;[1];0
3;3;484805.3433;2184786.2303;[1];0
4;4;484789.4868;2184762.4946;[1];0
5;5;484785.5122;2184765.1498;[1];0
6;6;484777.1798;2184752.6770;[1];0
7;7;484781.1545;2184750.0218;[1];0
8;8;484776.7105;2184743.3696;[1];0
9;9;484787.3540;2184736.2593;[1];0
10;10;484815.9868;2184779.1200;[1];0
11;1;484843.4586;2184820.2431;[1];0

12;11;484843.4586;2184820.2431;[2];2
13;12;484832.8152;2184827.3533;[2];2
14;13;484805.3433;2184786.2303;[2];2
15;14;484789.4868;2184762.4946;[2];2
16;15;484781.1545;2184750.0218;[2];2
17;16;484776.7105;2184743.3696;[2];2
18;17;484787.3540;2184736.2593;[2];2
19;18;484815.9868;2184779.1200;[2];2
20;11;484843.4586;2184820.2431;[2];2

21;19;484815.9868;2184779.1200;[3];2
22;20;484805.3433;2184786.2303;[3];2
23;21;484789.4868;2184762.4946;[3];2
24;22;484781.1545;2184750.0218;[3];2
25;23;484776.7105;2184743.3696;[3];2
26;24;484787.3540;2184736.2593;[3];2
27;19;484815.9868;2184779.1200;[3];2
